id,year,journal,title,abstract
41272836,2025,Journal of ovarian research,Managing the negative regulation of Sirtuins in a murine model of premature ovarian failure: focusing on the key roles of antioxidants.,"One of the most common side effects of chemotherapy is premature ovarian failure (POF) in women younger than 40. POF is linked to higher levels of gonadotropin hormones, lower levels of estradiol, and increased apoptosis and follicular atresia, all of which lower the quality of fertility and eventually make women unable to have children. There have been more and more reports since 1981 of different treatments that can protect against ovarian damage caused by chemotherapy. However, it is still challenging to find effective fertility-preserving measures for treating POF. Many of the newly proposed or developing chemotherapy treatments and radiotherapy-induced premature ovarian failure have shown limited efficacy or are associated with side effects, and their ability to fully restore ovarian function remains uncertain. However, the use of antioxidants to treat premature ovarian failure is a more effective method with fewer side effects than the recommended treatment methods. Antioxidants reduce symptoms of premature ovarian failure by affecting histone-modifying genes, especially the Sirtuin family, which function as redox environment sensors in granulosa cells and regulate the expression of downstream genes such as FOXO3a, P53, NF-κB, NRF2, and PGC-1a. This study aims to investigate how different treatments, especially antioxidants, can reactivate Sirtuin family genes to help with premature ovarian failure. It is shown that antioxidants, by increasing the expression levels of Sirtuin family genes, have the most significant impact on improving ovarian function in premature ovarian failure induced by multiple chemotherapy drugs."
41271620,2025,Nature communications,Topoisomerase IIb binding delineates localized mutational processes and driver mutations in cancer genomes.,"Type-II topoisomerases resolve topological stress in DNA through double-strand breaks. While topoisomerases are chemotherapy targets linked to therapy-related genotoxicity, TOP2B is uniquely positioned to influence mutagenesis through its activity in non-dividing cells and sensitivity to topoisomerase poisons. To investigate this, we generated DNA-binding maps of TOP2B, CTCF, and RAD21 in human cancer samples and analyzed these for driver mutations and mutational processes across 6500 whole cancer genomes. TOP2B-CTCF-RAD21 and TOP2B-RAD21 sites are enriched in somatic mutations and structural variants, particularly at sites with evolutionary conservation, high transcription and long-range chromatin interactions. TOP2B binds driver genes such as TP53, MYC, FOXA1, and VHL, and many frequently mutated non-coding regions. We show that one non-coding TOP2B-bound element at the non-coding RNA gene RMRP drives tumor initiation and growth in vivo. Our study highlights TOP2B as a safeguard of genome integrity and a marker of mutational processes and hotspots in cancer, underscoring implications for cancer genomics research."
41271583,2025,The journal of physical chemistry. B,Allosteric and Dominant-Negative Effects in a p53 Core Heterotetramer.,"The tumor suppressor protein p53 is one of the most frequently mutated proteins in cancer cells and is a critical target for anticancer therapies. In the nucleus, the p53 core domain binds DNA response elements as a tetramer to regulate gene transcription. During early cancer development, mutant and wild-type p53 coexist and assemble into a heterotetramer. Experimental studies confirm that the R249S mutant exerts a dominant-negative effect on wild-type p53, but the underlying molecular mechanisms, particularly how allosteric inhibition mediates the effect, remain unclear. Here, we employed all-atom molecular dynamics simulations to investigate how the R249S mutation causes dominant-negative effects in the p53 heterotetramer. Our simulations show that the mutation drives the reorganization of interfacial interactions in the heterotetramer through multiple allosteric pathways. Interestingly, the wild-type subunit forms more stable interactions with the mutant subunit than it does with wild-type subunits to adapt to the negative effects induced by the mutation in the protein."
41271567,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Nasal Mucosa-Derived Extracellular Vesicles as a Systemic Antiaging Intervention.,"Aging impairs tissue function and regenerative capacity across multiple organs. This study demonstrates that extracellular vesicles derived from human nasal mucosa (nmEVs) exert systemic antiaging effects in aged mice. Treatment with nmEVs improves cognitive performance and alters hippocampal aging signatures related to synaptic signaling and the regulation of neuroplasticity. In parallel, transcriptomic analysis of five major aging-sensitive organs reveals that nmEVs broadly ameliorate age-associated transcriptional changes, notably by restoring circadian rhythmicity and suppressing cellular senescence-related pathways. At the cellular level, nmEVs alleviate senescence phenotypes in aged human bone marrow mesenchymal stem cells, restore proliferation and osteogenic capacity, and reactivate core clock gene expression. These effects are accompanied by modulation of the p53 pathway, suggesting its involvement in nmEV-mediated rejuvenation. Importantly, lacking the need for cell isolation and ex vivo expansion, nmEVs offer a practical, age-independent source of extracellular vesicles with high clinical accessibility. Together, these findings support the translational potential of nmEVs as a multifaceted therapeutic candidate for systemic aging intervention."
41271031,2025,Toxicology and applied pharmacology,Artesunate attenuates pulmonary fibrosis by suppressing fibroblast senescence through inhibition of the STAT3/p53 signaling pathway.,"Idiopathic pulmonary fibrosis (IPF) is a chronic, progressive, and lethal lung disease with elusive pathogenesis. Accumulating evidence implicates cellular senescence as a key mechanism in IPF. Current therapies (pirfenidone/nintedanib) reduce acute exacerbation risk and delay lung function decline in mild-to-moderate IPF, but adverse effects often limit their use. The JAK/STAT pathway is critically involved in the pathogenesis of IPF. While artesunate (Art) alleviates pulmonary fibrosis in rats through anti-inflammatory actions, its effects on fibrosis via STAT3 inhibition-particularly in murine models and human tissues-remain underexplored."
41270849,2025,Critical reviews in oncology/hematology,Lactylation in cancer: Metabolic-epigenetic nexus and therapeutic frontiers.,"The revolutionary discovery of histone lactylation fundamentally reshapes our understanding of cancer metabolism, revealing how glycolytic lactate directly orchestrates protein modification. This review comprehensively synthesizes mounting evidence positioning lactylation as a critical, yet paradoxically dual, regulator of oncogenic processes. While often driving malignant phenotypes through mechanisms like MRE11-K673la-mediated DNA repair, lactylation can also exert tumor-suppressive effects, such as H3K18la-induced cell cycle arrest, highlighting its context-dependent complexity. We delve into the paradigm-shifting discovery of alanyl-tRNA synthetases (AARS1/2) as novel, CoA-independent lactylation catalysts, challenging long-held assumptions. Furthermore, we systematically dissect lactylation's intricate crosstalk with other post-translational modifications, unveiling competitive dynamics with acetylation (e.g., H3K18la vs. H3K18ac) and cooperative metabolic coupling with m6A methylation. Beyond fundamental mechanisms, this review illuminates the profound clinical potential of lactylation. We discuss how specific lactylation patterns, including histone (H4K12la) and non-histone (p53-K120la) modifications, emerge as promising biomarkers correlating with drug response across diverse malignancies. Addressing critical gaps, we establish a robust conceptual framework for lactylation as a dynamic metabolic sensor and propose actionable strategies for therapeutic targeting, paving the way for novel precision oncology approaches. This work bridges fundamental insights to translational applications, propelling forward the emerging and impactful field of metabolic-epigenetic regulation in cancer."
41270297,2025,Gynecologic oncology,Human fallopian tube epithelial organoids with TP53 mutation recapitulate features of serous tubal intraepithelial carcinoma (STIC).,Serous tubal intraepithelial carcinoma (STIC) is the immediate precursor lesion for high-grade serous ovarian carcinoma (HGSOC) and harbors universal TP53 mutations. The lack of an appropriate in vitro model for STIC presents a major challenge in studying its pathogenesis. We aimed to develop a human in vitro model that mimics STIC lesions.
41268613,2026,Molecular medicine reports,NEDD4 regulates VEGF signaling and mTOR to promote angiogenesis and the cell cycle in steroid‑induced osteonecrosis of the femoral head.,"Steroid‑induced osteonecrosis of the femoral head (SONFH) is a progressive hip condition marked by osteocyte apoptosis from poor blood supply, leading to femoral head collapse and hip joint dysfunction. Examination of the GSE123568 dataset revealed the important role of ubiquitination in the development of SONFH, contributing to processes such as 'apoptosis', 'protein processing in the endoplasmic reticulum', 'lysosome function', 'cell cycle regulation and autophagy'. The present research revealed that the E3 ubiquitin ligase neural precursor cell expressed developmentally downregulated protein 4 (NEDD4) is involved in SONFH, showing positive correlations with key genes in the p53 signaling pathway, DNA damage response and cell cycle regulation. This highlights the role of NEDD4 in DNA repair and cell cycle control. Additionally, NEDD4 exhibited varying regulatory effects on integrin, TGF‑β/SMAD, Hippo/yes‑associated protein and Notch signaling pathways, underscoring its multifaceted role in cellular signaling. A NEDD4 overexpression vector was created and found to significantly boost the viability, migration and angiogenesis of bone microvascular endothelial cells (BMECs). Reverse transcription‑quantitative PCR results revealed higher mRNA levels of mTOR, VEGF and VEGFR2 in NEDD4‑overexpressing cells, suggesting that the VEGF signaling pathway was activated. Immunoprecipitation assays showed decreased mTOR ubiquitination levels following NEDD4 overexpression, suggesting NEDD4 may indirectly modulate mTOR ubiquitination rather than directly catalyzing it., Small interfering RNA experiments found that NEDD4 and mTOR cooperated to boost BMEC proliferation and migration, as confirmed by MTT, EdU and wound healing assays. Furthermore, the present research showed that glucocorticoids could suppress NEDD4 expression by increasing promoter methylation levels. These findings highlight the key roles of NEDD4 in angiogenesis, maintaining cell balance, regulating the cell cycle and repairing DNA damage in SONFH. By demonstrating the numerous functions of NEDD4 in steroid‑induced osteonecrosis and angiogenesis, the present study suggested that it may impact vascular growth and bone tissue repair through multiple pathways and mechanisms."
41268608,2026,International journal of molecular medicine,Synergistic effects of Akebia saponin D and Semaglutide on diabetic nephropathy and osteoporosis via the Klotho‑p53 signaling axis.,"Diabetic nephropathy (DN) and diabetic osteoporosis (DOP) are frequent and debilitating complications of diabetes mellitus (DM), sharing pathological features such as oxidative stress, inflammation and metabolic dysregulation. However, current therapies rarely address these comorbidities simultaneously. In the present study, a type 2 DM rat model presenting both DN and DOP characteristics was established. Rats were treated with Akebia saponin D (ASD), Semaglutide, or their combination. Renal function, calcium‑phosphate metabolism, bone microarchitecture and mechanical properties were evaluated. Network pharmacology, molecular docking and knockdown validation were employed to elucidate underlying mechanisms. Combination therapy markedly improved glomerular structure, decreased fibrosis, restored trabecular bone volume and strength and corrected metabolic imbalance more effectively than monotherapy. Bioinformatic analysis identified the Klotho‑p53 signaling axis as a potential target. ASD exhibited high binding affinity to Klotho in silico and adeno‑associated virus‑mediated Klotho knockdown reversed therapeutic benefits, confirming its pivotal role. ASD and Semaglutide synergistically alleviated both DN and DOP by modulating the Klotho‑p53 axis, offering a promising strategy for comprehensive DM complication management."
41268607,2026,Molecular medicine reports,CDK1‑induced regulation of p53 phosphorylation at Ser315 mediates cell cycle arrest and apoptosis of macrophages infected with clinical isolates of ,Tuberculosis (TB) is an infectious disease caused by infection with 
