PDB ID,Method,Resolution,Covered Ranges (Chains)
1A00,X-ray,2.00 A,B/D=3-147
1A01,X-ray,1.80 A,B/D=3-147
1A0U,X-ray,2.14 A,B/D=3-147
1A0Z,X-ray,2.00 A,B/D=3-147
1A3N,X-ray,1.80 A,B/D=2-147
1A3O,X-ray,1.80 A,B/D=2-147
1ABW,X-ray,2.00 A,B/D=3-147
1ABY,X-ray,2.60 A,B/D=3-147
1AJ9,X-ray,2.20 A,B=2-147
1B86,X-ray,2.50 A,B/D=2-147
1BAB,X-ray,1.50 A,B/D=2-147
1BBB,X-ray,1.70 A,B/D=2-147
1BIJ,X-ray,2.30 A,B/D=2-147
1BUW,X-ray,1.90 A,B/D=2-147
1BZ0,X-ray,1.50 A,B/D=2-147
1BZ1,X-ray,1.59 A,B/D=2-147
1BZZ,X-ray,1.59 A,B/D=2-147
1C7B,X-ray,1.80 A,B/D=2-147
1C7C,X-ray,1.80 A,B/D=2-147
1C7D,X-ray,1.80 A,B/D=2-147
1CBL,X-ray,1.80 A,A/B/C/D=2-147
1CBM,X-ray,1.74 A,A/B/C/D=2-147
1CH4,X-ray,2.50 A,A/B/C/D=2-146
1CLS,X-ray,1.90 A,B/D=2-147
1CMY,X-ray,3.00 A,B/D=2-147
1COH,X-ray,2.90 A,B/D=2-147
1DKE,X-ray,2.10 A,B/D=2-147
1DXT,X-ray,1.70 A,B/D=1-147
1DXU,X-ray,1.70 A,B/D=3-147
1DXV,X-ray,1.70 A,B/D=3-147
1FN3,X-ray,2.48 A,B/D=2-147
1G9V,X-ray,1.85 A,B/D=2-147
1GBU,X-ray,1.80 A,B/D=2-147
1GBV,X-ray,2.00 A,B/D=2-147
1GLI,X-ray,2.50 A,B/D=3-147
1GZX,X-ray,2.10 A,B/D=2-147
1HAB,X-ray,2.30 A,B/D=2-147
1HAC,X-ray,2.60 A,B/D=2-147
1HBA,X-ray,2.10 A,B/D=2-147
1HBB,X-ray,1.90 A,B/D=2-147
1HBS,X-ray,3.00 A,B/D/F/H=2-147
1HCO,X-ray,2.70 A,B=2-147
1HDB,X-ray,2.20 A,B/D=2-147
1HGA,X-ray,2.10 A,B/D=2-147
1HGB,X-ray,2.10 A,B/D=2-147
1HGC,X-ray,2.10 A,B/D=2-147
1HHO,X-ray,2.10 A,B=2-147
1IRD,X-ray,1.25 A,B=2-147
1J3Y,X-ray,1.55 A,B/D/F/H=2-147
1J3Z,X-ray,1.60 A,B/D/F/H=2-147
1J40,X-ray,1.45 A,B/D/F/H=2-147
1J41,X-ray,1.45 A,B/D/F/H=2-147
1J7S,X-ray,2.20 A,B/D=2-147
1J7W,X-ray,2.00 A,B/D=2-147
1J7Y,X-ray,1.70 A,B/D=2-147
1JY7,X-ray,3.20 A,B/D/Q/S/V/X=2-147
1K0Y,X-ray,1.87 A,B/D=2-147
1K1K,X-ray,2.00 A,B=2-147
1KD2,X-ray,1.87 A,B/D=2-147
1LFL,X-ray,2.70 A,B/D/Q/S=2-147
1LFQ,X-ray,2.60 A,B=2-147
1LFT,X-ray,2.60 A,B=2-147
1LFV,X-ray,2.80 A,B=2-147
1LFY,X-ray,3.30 A,B=2-147
1LFZ,X-ray,3.10 A,B=2-147
1LJW,X-ray,2.16 A,B=2-147
1M9P,X-ray,2.10 A,B/D=2-147
1MKO,X-ray,2.18 A,B/D=2-147
1NEJ,X-ray,2.10 A,B/D=2-147
1NIH,X-ray,2.60 A,B/D=2-147
1NQP,X-ray,1.73 A,B/D=2-147
1O1I,X-ray,2.30 A,B=2-147
1O1J,X-ray,1.90 A,B/D=2-147
1O1K,X-ray,2.00 A,B/D=2-147
1O1L,X-ray,1.80 A,B/D=2-147
1O1M,X-ray,1.85 A,B/D=2-147
1O1N,X-ray,1.80 A,B/D=2-147
1O1O,X-ray,1.80 A,B/D=2-147
1O1P,X-ray,1.80 A,B/D=2-147
1QI8,X-ray,1.80 A,B/D=3-147
1QSH,X-ray,1.70 A,B/D=2-147
1QSI,X-ray,1.70 A,B/D=2-147
1QXD,X-ray,2.25 A,B/D=2-147
1QXE,X-ray,1.85 A,B/D=2-147
1R1X,X-ray,2.15 A,B=2-147
1R1Y,X-ray,1.80 A,B/D=2-147
1RPS,X-ray,2.11 A,B/D=2-147
1RQ3,X-ray,1.91 A,B/D=2-147
1RQ4,X-ray,2.11 A,B/D=2-147
1RQA,X-ray,2.11 A,B/D=2-147
1RVW,X-ray,2.50 A,B=2-147
1SDK,X-ray,1.80 A,B/D=2-147
1SDL,X-ray,1.80 A,B/D=2-147
1THB,X-ray,1.50 A,B/D=2-147
1UIW,X-ray,1.50 A,B/D/F/H=2-147
1VWT,X-ray,1.90 A,B/D=2-147
1XXT,X-ray,1.91 A,B/D=2-147
1XY0,X-ray,1.99 A,B/D=2-147
1XYE,X-ray,2.13 A,B/D=2-147
1XZ2,X-ray,1.90 A,B/D=2-147
1XZ4,X-ray,2.00 A,B/D=2-147
1XZ5,X-ray,2.11 A,B/D=2-147
1XZ7,X-ray,1.90 A,B/D=2-147
1XZU,X-ray,2.16 A,B/D=2-147
1XZV,X-ray,2.11 A,B/D=2-147
1Y09,X-ray,2.25 A,B/D=2-147
1Y0A,X-ray,2.22 A,B/D=2-147
1Y0C,X-ray,2.30 A,B/D=2-147
1Y0D,X-ray,2.10 A,B/D=2-147
1Y0T,X-ray,2.14 A,B/D=2-147
1Y0W,X-ray,2.14 A,B/D=2-147
1Y22,X-ray,2.16 A,B/D=2-147
1Y2Z,X-ray,2.07 A,B/D=2-147
1Y31,X-ray,2.13 A,B/D=2-147
1Y35,X-ray,2.12 A,B/D=2-147
1Y45,X-ray,2.00 A,B/D=2-147
1Y46,X-ray,2.22 A,B/D=2-147
1Y4B,X-ray,2.10 A,B/D=2-147
1Y4F,X-ray,2.00 A,B/D=2-147
1Y4G,X-ray,1.91 A,B/D=2-147
1Y4P,X-ray,1.98 A,B/D=2-147
1Y4Q,X-ray,2.11 A,B/D=2-147
1Y4R,X-ray,2.22 A,B/D=2-147
1Y4V,X-ray,1.84 A,B/D=2-147
1Y5F,X-ray,2.14 A,B/D=2-147
1Y5J,X-ray,2.03 A,B/D=2-147
1Y5K,X-ray,2.20 A,B/D=2-147
1Y7C,X-ray,2.10 A,B/D=2-147
1Y7D,X-ray,1.90 A,B/D=2-147
1Y7G,X-ray,2.10 A,B/D=2-147
1Y7Z,X-ray,1.98 A,B/D=2-147
1Y83,X-ray,1.90 A,B/D=2-145
1Y85,X-ray,2.13 A,B/D=2-146
1Y8W,X-ray,2.90 A,B/D=2-147
1YDZ,X-ray,3.30 A,B/D=2-147
1YE0,X-ray,2.50 A,B/D=2-147
1YE1,X-ray,4.50 A,B/D=2-147
1YE2,X-ray,1.80 A,B/D=2-147
1YEN,X-ray,2.80 A,B/D=2-147
1YEO,X-ray,2.22 A,B/D=2-147
1YEQ,X-ray,2.75 A,B/D=2-147
1YEU,X-ray,2.12 A,B/D=2-147
1YEV,X-ray,2.11 A,B/D=2-147
1YFF,X-ray,2.40 A,B/D/F/H=2-147
1YG5,X-ray,2.70 A,B/D=2-147
1YGD,X-ray,2.73 A,B/D=2-147
1YGF,X-ray,2.70 A,B/D=2-147
1YH9,X-ray,2.20 A,B/D=2-147
